file,symbol,company,doc_kind,doc_id,total_words,short_doc,buzzword_hits,buzzwords_per_1000_words,buzzword_score_weighted,weighted_per_1000_words,unique_buzzwords,puffery_hits,hedge_hits,corporate_hits,esg_jargon_hits,puffery_per_1000_words,hedge_per_1000_words,corporate_per_1000_words,esg_jargon_per_1000_words,quantity_hits,year_hits,substance_hits,substance_per_1000_words,buzzwords_per_substance_hit,top_terms,density_percentile
MSCI__page_0.txt,MSCI,,page,0,514,1,63,122.568,63.0,122.568,27,0,7,16,40,0.0,13.619,31.128,77.821,0,0,0,0.0,,sustainable:11; corporate citizenship:9; transparency:5; resilience:4; innovation:3; inclusion:3; sustainable X:3; aim to:2; stakeholder:2; integrity:2,100.0
CSCO__data_94.txt,CSCO,Cisco,data,94,1910,1,208,108.901,208.0,108.901,21,0,7,57,144,0.0,3.665,29.843,75.393,0,66,66,34.555,3.152,purpose:77; innovation:24; material topics:21; sustainable:20; resilience:18; stewardship:15; ecosystem:9; ESG:4; significantly:4; ethics:2,99.8
NOW__page_0.txt,NOW,ServiceNow,page,0,348,1,36,103.448,36.0,103.448,21,2,1,5,28,5.747,2.874,14.368,80.46,0,5,5,14.368,7.2,impact:7; purpose:4; sustainable:3; ethics:3; belonging:2; engage:2; climate action:1; materiality:1; science-based:1; exploring:1,99.6
JBL__data_226.txt,JBL,Jabil,data,226,638,1,54,84.639,54.0,84.639,26,2,7,10,35,3.135,10.972,15.674,54.859,0,9,9,14.107,6.0,sustainable:17; impact:4; innovation:3; circular economy:2; sustainable X:2; responsible sourcing:2; contribute to:2; ethics:2; climate action:2; strive to:2,99.4
FDS__page_0.txt,FDS,,page,0,153,1,12,78.431,12.0,78.431,11,0,1,2,9,0.0,6.536,13.072,58.824,0,1,1,6.536,12.0,sustainable:2; climate action:1; impact:1; continue to:1; materiality:1; wellbeing:1; purpose:1; ethics:1; stakeholder:1; accountability:1,99.2
KLAC__page_0.txt,KLAC,KLA Corporation,page,0,715,1,56,78.322,56.0,78.322,28,4,9,17,26,5.594,12.587,23.776,36.364,2,13,15,20.979,3.733,innovation:7; impact:6; sustainable:5; enable:3; committed to:3; science-based:3; stewardship:3; ESG:2; ethics:2; meaningful impact:2,99.0
GRMN__page_0.txt,GRMN,Garmin,page,0,367,1,28,76.294,28.0,76.294,10,1,6,5,16,2.725,16.349,13.624,43.597,0,3,3,8.174,9.333,sustainable:11; stakeholder:4; committed to:3; stewardship:2; commitment:2; impact:2; engage:1; unwavering:1; over time:1; transparency:1,98.8
OKE__page_0.txt,OKE,Oneok,page,0,291,1,22,75.601,22.0,75.601,6,1,0,3,18,3.436,0.0,10.309,61.856,0,24,24,82.474,0.917,sustainable:15; ethics:2; framework:2; make a difference:1; engage:1; ESG:1,98.6
IBM__page_0.txt,IBM,,page,0,358,1,27,75.419,27.0,75.419,18,1,10,7,9,2.793,27.933,19.553,25.14,0,8,8,22.346,3.375,exploring:6; impact:3; innovation:3; dedicated to:1; ecosystem:1; ethics:1; continue to:1; inclusion:1; foster:1; enable:1,98.3
SLB__data_329.txt,SLB,Schlumberger,data,329,1388,1,100,72.046,100.0,72.046,12,0,11,4,85,0.0,7.925,2.882,61.239,1,122,123,88.617,0.813,sustainable:64; significantly:9; ethics:8; biodiversity:4; material topics:4; climate action:3; commitment:2; stakeholder engagement:2; impact:1; sustainable X:1,98.1
HUM__page_0.txt,HUM,,page,0,462,1,33,71.429,33.0,71.429,11,2,7,1,23,4.329,15.152,2.165,49.784,7,7,14,30.303,2.357,impact:16; transparency:4; exploring:3; ESG:2; commitment:2; stakeholder:1; focused on:1; people-first:1; accountability:1; aligned with:1,97.9
ECL__page_0.txt,ECL,Ecolab,page,0,692,1,47,67.919,47.0,67.919,24,1,9,9,28,1.445,13.006,13.006,40.462,2,15,17,24.566,2.765,impact:11; positive impact:7; sustainable:4; thrive:3; optimise:2; focused on:2; stewardship:1; continue to:1; innovation:1; corporate citizenship:1,97.7
CTAS__data_92.txt,CTAS,,data,92,237,1,16,67.511,16.0,67.511,6,1,1,5,9,4.219,4.219,21.097,37.975,17,3,20,84.388,0.8,impact:8; champion:3; engage:2; make a difference:1; positive impact:1; dedicated to:1,97.5
TSLA__data_370.txt,TSLA,"Tesla, Inc.",data,370,875,1,58,66.286,58.0,66.286,14,5,5,5,43,5.714,5.714,5.714,49.143,10,32,42,48.0,1.381,impact:32; sustainable:8; best-in-class:3; over time:2; strive to:2; accelerate:2; engage:2; net zero:1; carbon offsets:1; thrive:1,97.3
