symbol,company,n_docs,doc_kinds,files,total_words,buzzword_hits,buzzwords_per_1000_words,buzzword_score_weighted,weighted_per_1000_words,unique_buzzwords,extra_hits,extra_per_1000_words,substance_hits,buzzwords_per_substance_hit,puffery_per_1000_words,hedge_per_1000_words,corporate_per_1000_words,esg_jargon_per_1000_words,top_terms,website,sector
FDS,FactSet,1,page,FDS__page_0.txt,153,12,78.431,12.0,78.431,11,0,0.0,1,12.0,0.0,6.536,13.072,58.824,sustainable:2; climate action:1; impact:1; continue to:1; materiality:1; wellbeing:1; purpose:1; ethics:1; stakeholder:1; accountability:1; resilience:1,factset.com,Financials
IBM,IBM,1,page,IBM__page_0.txt,358,27,75.419,27.0,75.419,18,0,0.0,8,3.38,2.793,27.933,19.553,25.14,exploring:6; impact:3; innovation:3; dedicated to:1; ecosystem:1; ethics:1; continue to:1; inclusion:1; foster:1; enable:1; empower:1; responsible sourcing:1; lasting change:1; aspire to:1; wellbeing:1,ibm.com,Information Technology
HUM,Humana,1,page,HUM__page_0.txt,462,33,71.429,33.0,71.429,11,0,0.0,14,2.36,4.329,15.152,2.165,49.784,impact:16; transparency:4; exploring:3; ESG:2; commitment:2; stakeholder:1; focused on:1; people-first:1; accountability:1; aligned with:1; we are proud:1,humana.com,Health Care
PRU,Prudential Financial,1,page,PRU__page_0.txt,380,25,65.789,25.0,65.789,15,0,0.0,8,3.12,2.632,7.895,21.053,34.211,sustainable:8; innovation:3; value creation:2; impact:1; continue to:1; focused on:1; inclusion:1; commitment:1; purpose:1; stakeholder:1; empower:1; accountability:1; world-class:1; sustainable X:1; framework:1,prudential.com,Financials
PTC,PTC Inc.,1,main,PTC__main_306.txt,17513,1139,65.037,1139.0,65.037,102,0,0.0,159,7.16,5.596,6.053,21.298,32.09,sustainable:199; impact:107; empower:95; integrity:77; a brighter future:68; enable:51; circular economy:29; innovation:29; engage:26; decarbonisation:23; ethics:21; commitment:18; ecosystem:16; foster:15; transparency:15,ptc.com,Information Technology
TSLA,"Tesla, Inc.",2,data; main,TSLA__data_370.txt; TSLA__main_369.txt,6910,435,62.952,435.0,62.952,50,0,0.0,346,1.26,2.46,3.473,8.538,48.48,impact:247; sustainable:20; decarbonisation:18; responsible sourcing:13; engage:10; continue to:9; accelerate:8; circular economy:8; optimise:8; transparency:7; alignment:7; best-in-class:6; biodiversity:5; over time:5; ecosystem:5,tesla.com,Consumer Discretionary
ROK,Rockwell Automation,1,main,ROK__main_320.txt,22086,1390,62.936,1390.0,62.936,112,0,0.0,129,10.78,2.49,5.931,15.53,38.984,sustainable:414; integrity:106; ESG:97; impact:60; innovation:52; accelerate:47; engage:34; wellbeing:32; ethics:31; enable:31; commitment:29; responsible sourcing:29; empower:28; resilience:26; continue to:24,rockwellautomation.com,Industrials
ADP,Automatic Data Processing,1,main,ADP__main_45.txt,13970,842,60.272,842.0,60.272,90,0,0.0,181,4.65,0.859,5.369,17.967,36.077,ethics:74; engage:61; wellbeing:55; integrity:53; resilience:46; purpose:45; stewardship:45; ESG:44; corporate citizenship:41; sustainable X:40; sustainable:24; commitment:23; inclusion:22; innovation:16; foster:14,adp.com,Industrials
NOW,ServiceNow,1,data,NOW__data_484.txt,2031,119,58.592,119.0,58.592,33,0,0.0,23,5.17,0.492,8.37,14.771,34.958,sustainable:15; ESG:12; net zero:11; impact:11; engage:7; decarbonisation:5; operationalise:5; science-based:5; framework:5; stakeholder:5; aligned with:4; carbon neutral:4; carbon footprint:3; commitment:3; carbon offsets:2,servicenow.com,Information Technology
CRL,Charles River Laboratories,1,page,CRL__page_0.txt,650,38,58.462,38.0,58.462,13,0,0.0,60,0.63,0.0,6.154,3.077,49.231,corporate citizenship:12; ESG:6; ESG strategy:4; sustainable X:3; sustainable:3; belonging:2; commitment:2; committed to:1; contribute to:1; innovation:1; accountability:1; ethics:1; stakeholder:1,criver.com,Health Care
