doc_id,file,symbol,company,doc_kind,doc_num,token_offset,n_tokens,n_words,quantity_hits,year_hits
0,AAPL__main_37.txt,AAPL,Apple Inc.,main,37,0,56139,45778,289,653
1,ABNB__data_14.txt,ABNB,Airbnb,data,14,56139,5777,4906,11,28
2,ABT__main_2.txt,ABT,Abbott Laboratories,main,2,61916,49631,38625,109,745
3,ACGL__data_41.txt,ACGL,Arch Capital Group,data,41,111547,10783,8723,28,76
4,ACGL__main_40.txt,ACGL,Arch Capital Group,main,40,122330,11241,9230,19,121
5,ACN__data_6.txt,ACN,Accenture,data,6,133571,2259,1810,0,33
6,ACN__main_5.txt,ACN,Accenture,main,5,135830,28782,24030,77,247
7,ADBE__data_8.txt,ADBE,Adobe Inc.,data,8,164612,51999,31416,30,192
8,ADBE__main_7.txt,ADBE,Adobe Inc.,main,7,216611,4625,2854,27,78
9,ADI__main_34.txt,ADI,Analog Devices,main,34,221236,47737,39242,90,512
10,ADM__main_42.txt,ADM,Archer Daniels Midland,main,42,268973,25619,20413,45,207
11,ADP__main_45.txt,ADP,Automatic Data Processing,main,45,294592,16624,13970,34,147
12,AEE__main_27.txt,AEE,Ameren,main,27,311216,10102,7978,51,156
13,AEP__main_28.txt,AEP,American Electric Power,main,28,321318,28030,23447,161,198
14,AES__main_10.txt,AES,AES Corporation,main,10,349348,25494,20417,133,322
15,AFL__main_11.txt,AFL,Aflac,main,11,374842,45904,37623,171,535
16,AIG__main_29.txt,AIG,American International Group,main,29,420746,28084,23782,29,191
17,AIZ__main_434.txt,AIZ,Assurant,main,434,448830,34196,27917,90,292
18,AJG__main_435.txt,AJG,Arthur J. Gallagher & Co.,main,435,483026,12907,10302,9,141
19,ALB__main_16.txt,ALB,Albemarle Corporation,main,16,495933,25876,20055,32,387
20,ALGN__main_18.txt,ALGN,Align Technology,main,18,521809,6953,6034,4,34
21,ALLE__main_19.txt,ALLE,Allegion,main,19,528762,5299,4260,10,93
22,ALLE__page_0.txt,ALLE,Allegion,page,0,534061,1261,990,3,7
23,ALL__main_436.txt,ALL,Allstate,main,436,535322,1843,1463,19,30
24,AMAT__main_38.txt,AMAT,Applied Materials,main,38,537165,33604,26880,120,406
25,AMCR__main_26.txt,AMCR,Amcor,main,26,570769,58471,46109,104,367
26,AMD__main_9.txt,AMD,Advanced Micro Devices,main,9,629240,54819,45458,79,669
27,AMGN__main_32.txt,AMGN,Amgen,main,32,684059,15675,12699,45,169
28,AMZN__data_25.txt,AMZN,Amazon,data,25,699734,446,336,7,11
29,AMZN__main_24.txt,AMZN,Amazon,main,24,700180,45566,36956,166,524
30,ANET__main_43.txt,ANET,Arista Networks,main,43,745746,23628,19431,32,248
31,AON__main_35.txt,AON,Aon plc,main,35,769374,14398,11755,16,158
32,AOS__main_1.txt,AOS,A. O. Smith,main,1,783772,7882,6427,13,82
33,APA__main_36.txt,APA,APA Corporation,main,36,791654,8394,5609,17,129
34,APD__main_13.txt,APD,Air Products,main,13,800048,26739,21311,36,202
35,APO__main_437.txt,APO,Apollo Global Management,main,437,826787,41141,33876,81,290
36,APTV__main_39.txt,APTV,Aptiv,main,39,867928,4411,3846,11,18
37,ARE__main_17.txt,ARE,Alexandria Real Estate Equities,main,17,872339,27739,22124,24,314
38,AVGO__main_438.txt,AVGO,Broadcom,main,438,900078,25261,21192,21,283
39,AVY__data_48.txt,AVY,Avery Dennison,data,48,925339,18710,14639,8,443
40,AVY__main_47.txt,AVY,Avery Dennison,main,47,944049,145017,106176,1679,2474
41,AWK__main_30.txt,AWK,American Water Works,main,30,1089066,38118,31944,45,221
42,AXON__main_49.txt,AXON,Axon Enterprise,main,49,1127184,14334,12008,3,77
43,AXP__main_439.txt,AXP,American Express,main,439,1141518,16308,12946,41,225
44,BAC__data_54.txt,BAC,Bank of America,data,54,1157826,10557,6562,3,69
45,BAC__main_53.txt,BAC,Bank of America,main,53,1168383,37486,29687,121,385
46,BALL__data_52.txt,BALL,Ball Corporation,data,52,1205869,17556,13133,40,376
47,BALL__main_51.txt,BALL,Ball Corporation,main,51,1223425,17734,14084,117,284
48,BAX__main_55.txt,BAX,Baxter International,main,55,1241159,24384,19194,99,233
49,BA__main_66.txt,BA,Boeing,main,66,1265543,26006,20500,85,258
50,BBY__main_57.txt,BBY,Best Buy,main,57,1291549,27891,23058,91,189
51,BDX__main_56.txt,BDX,Becton Dickinson,main,56,1319440,45185,36562,53,383
52,BEN__main_440.txt,BEN,Franklin Resources,main,440,1364625,25923,21046,29,175
53,BEN__page_0.txt,BEN,Franklin Resources,page,0,1390548,762,623,0,1
54,BG__main_71.txt,BG,Bunge Global,main,71,1391310,47483,38189,61,454
55,BIIB__data_61.txt,BIIB,Biogen,data,61,1438793,1913,1622,0,6
56,BIIB__main_60.txt,BIIB,Biogen,main,60,1440706,28388,22118,40,347
57,BKNG__main_67.txt,BKNG,Booking Holdings,main,67,1469094,9181,7099,6,151
58,BKR__main_50.txt,BKR,Baker Hughes,main,50,1478275,91517,71236,133,927
59,BLK__main_62.txt,BLK,BlackRock,main,62,1569792,26226,21038,61,202
60,BMY__main_69.txt,BMY,Bristol Myers Squibb,main,69,1596018,55607,46321,38,600
61,BNY__main_65.txt,BNY,BNY Mellon,main,65,1651625,9443,7862,16,78
62,BRO__main_441.txt,BRO,Brown & Brown,main,441,1661068,65654,50352,800,1045
63,BR__main_70.txt,BR,Broadridge Financial Solutions,main,70,1726722,4255,3175,6,86
64,BSX__data_68.txt,BSX,Boston Scientific,data,68,1730977,59729,35332,53,252
65,BXP__main_72.txt,BXP,"BXP, Inc.",main,72,1790706,37328,28674,114,594
66,CAH__main_442.txt,CAH,Cardinal Health,main,442,1828034,59646,49027,72,426
67,CARR__main_443.txt,CARR,Carrier Global,main,443,1887680,38728,30504,55,419
68,CAT__main_75.txt,CAT,Caterpillar Inc.,main,75,1926408,31390,25365,55,415
69,CB__main_85.txt,CB,Chubb Limited,main,85,1957798,11852,10004,13,61
70,CCI__main_444.txt,CCI,Crown Castle,main,444,1969650,8784,7003,18,138
71,CDW__main_446.txt,CDW,CDW Corporation,main,446,1978434,22908,19456,22,240
72,CEG__main_110.txt,CEG,Constellation Energy,main,110,2001342,24887,21007,149,253
