id	token	corpus_freq
0	@@break@@	1538351
1	and	474728
2	the	295513
3	to	264113
4	of	234859
5	our	205198
6	in	168084
7	a	110235
8	we	104776
9	for	99075
10	with	81299
11	s	65870
12	on	64901
13	1	59855
14	by	55813
15	as	55709
16	are	54503
17	is	53807
18	that	53102
19	2025	51102
20	2	50250
21	sustainability	44983
22	or	44327
23	from	41062
24	report	40988
25	emissions	40020
26	3	36732
27	this	35496
28	energy	34823
29	business	33963
30	management	32874
31	data	32171
32	at	29126
33	employees	28394
34	risk	27825
35	0	27623
36	through	26551
37	water	25836
38	climate	24961
39	more	24158
40	impact	23868
41	governance	23490
42	environmental	23338
43	an	23196
44	scope	22707
45	global	22079
46	safety	21991
47	including	21783
48	their	21462
49	all	21379
50	2024	21230
51	company	20447
52	related	20443
53	across	20045
54	risks	20007
55	have	19888
56	year	19787
57	these	19532
58	not	19427
59	based	19255
60	health	18781
61	operations	18715
62	5	18555
63	other	18464
64	corporate	18462
65	program	18454
66	support	18391
67	4	18201
68	7	18163
69	people	18147
70	which	17776
71	products	17641
72	use	17432
73	performance	17182
74	also	16879
75	total	16480
76	reporting	16403
77	information	16338
78	communities	16216
79	waste	16115
80	chain	15145
81	customers	15037
82	work	14991
83	development	14860
84	employee	14799
85	be	14576
86	new	14357
87	supply	14048
88	compliance	13863
89	board	13827
90	strategy	13754
91	financial	13632
92	ghg	13432
93	suppliers	13355
94	sustainable	13316
95	responsible	13289
96	value	13274
97	community	12968
98	human	12966
99	engagement	12914
100	training	12854
101	000	12786
102	opportunities	12785
103	its	12765
104	6	12684
105	approach	12644
106	has	12548
107	product	12529
108	about	12522
109	u	12511
110	carbon	12248
111	team	11938
112	10	11797
113	practices	11759
114	such	11574
115	programs	11566
116	standards	11495
117	help	11428
118	can	11250
119	gri	11241
120	policy	11234
121	it	10992
122	where	10928
123	environment	10718
124	8	10607
125	e	10603
126	social	10226
127	time	10185
128	9	10157
129	gas	10108
130	than	10104
131	annual	9957
132	into	9948
133	appendix	9944
134	rights	9922
135	responsibility	9717
136	industry	9673
137	well	9660
138	process	9549
139	over	9540
140	services	9539
141	2023	9371
142	progress	9348
143	key	9319
144	renewable	9311
145	committee	9197
146	local	9188
147	term	9128
148	us	9091
149	100	9088
150	provide	8933
151	while	8922
152	material	8917
153	future	8896
154	reduce	8865
155	solutions	8841
156	may	8834
157	supplier	8765
158	conduct	8665
159	how	8642
160	high	8629
161	leadership	8585
162	operational	8575
163	policies	8546
164	efforts	8519
165	access	8519
166	introduction	8462
167	i	8459
168	will	8438
169	technology	8400
170	reduction	8375
171	quality	8358
172	ethics	8351
173	was	8287
174	electricity	8246
175	organization	8244
176	assessment	8229
177	metric	8224
178	2026	8206
179	goals	8168
180	change	8151
181	potential	8146
182	million	8120
183	include	8113
184	culture	8096
185	n	8092
186	resources	8084
187	commitment	8055
188	impacts	8045
189	workforce	7944
190	long	7939
191	code	7931
192	security	7922
193	includes	7813
194	they	7758
195	materials	7730
196	any	7653
197	ai	7639
198	third	7595
199	world	7518
200	initiatives	7502
201	consumption	7497
202	market	7474
203	were	7433
204	efficiency	7431
205	building	7410
206	each	7365
207	systems	7357
208	used	7316
209	page	7297
210	system	7279
211	customer	7270
