Ticker,Company Name,Years to 0 Profit (All),Years to 0 Profit (CO2 only),Years to 0 Profit (Water only),Years to 0 Profit (Electricity only)
MMM,3M,110,> 140,> 140,> 140
AOS,A. O. Smith,> 140,> 140,> 140,> 140
ABT,Abbott,> 140,> 140,> 140,> 140
ABBV,AbbVie,> 140,> 140,> 140,> 140
ACN,Accenture,> 140,> 140,> 140,> 140
ATVI,Activision Blizzard,> 140,> 140,> 140,> 140
ADM,ADM,4,4,45,> 140
ADBE,Adobe Inc.,> 140,> 140,> 140,> 140
ADP,ADP,> 140,> 140,> 140,> 140
AES,AES Corporation,2,4,2,2
AFL,Aflac,> 140,> 140,> 140,> 140
A,Agilent Technologies,> 140,> 140,> 140,> 140
APD,Air Products and Chemicals,0,0,0,0
AKAM,Akamai,> 140,> 140,> 140,> 140
ALK,Alaska Air Group,4,4,> 140,> 140
ALB,Albemarle Corporation,0,0,0,0
ARE,Alexandria Real Estate Equities,0,0,0,0
ALGN,Align Technology,> 140,> 140,> 140,> 140
ALLE,Allegion,> 140,> 140,> 140,> 140
LNT,Alliant Energy,4,4,72,96
ALL,Allstate,> 140,> 140,> 140,> 140
GOOGL,Alphabet Inc. (Class A),> 140,> 140,> 140,> 140
GOOG,Alphabet Inc. (Class C),> 140,> 140,> 140,> 140
MO,Altria,> 140,> 140,> 140,> 140
AMZN,Amazon,117,124,> 140,> 140
AMCR,Amcor,4,4,> 140,> 140
AMD,AMD,> 140,> 140,> 140,> 140
AEE,Ameren,4,4,9,> 140
AAL,American Airlines Group,4,4,38,> 140
AEP,American Electric Power,4,4,7,16
AXP,American Express,> 140,> 140,> 140,> 140
AIG,American International Group,> 140,> 140,> 140,> 140
AMT,American Tower,> 140,> 140,> 140,> 140
AWK,American Water Works,7,> 140,8,> 140
AMP,Ameriprise Financial,> 140,> 140,> 140,> 140
AME,Ametek,> 140,> 140,> 140,> 140
AMGN,Amgen,> 140,> 140,> 140,> 140
APH,Amphenol,> 140,> 140,> 140,> 140
ADI,Analog Devices,126,135,> 140,> 140
ANSS,Ansys,> 140,> 140,> 140,> 140
AON,Aon,> 140,> 140,> 140,> 140
APA,APA Corporation,4,4,> 140,> 140
AAPL,Apple Inc.,> 140,> 140,> 140,> 140
AMAT,Applied Materials,> 140,> 140,> 140,> 140
APTV,Aptiv,35,73,> 140,> 140
ACGL,Arch Capital Group,> 140,> 140,> 140,> 140
ANET,Arista Networks,78,78,> 140,> 140
AJG,Arthur J. Gallagher & Co.,> 140,> 140,> 140,> 140
AIZ,Assurant,> 140,> 140,> 140,> 140
T,AT&T,> 140,> 140,> 140,> 140
ATO,Atmos Energy,> 140,> 140,> 140,> 140
ADSK,Autodesk,> 140,> 140,> 140,> 140
AZO,AutoZone,> 140,> 140,> 140,> 140
AVB,AvalonBay Communities,> 140,> 140,> 140,> 140
AVY,Avery Dennison,> 140,> 140,> 140,> 140
AXON,Axon Enterprise,> 140,> 140,> 140,> 140
BKR,Baker Hughes,> 140,> 140,> 140,> 140
BALL,Ball Corporation,4,4,> 140,> 140
BAC,Bank of America,> 140,> 140,> 140,> 140
BBWI,Bath & Body Works,> 140,> 140,> 140,> 140
BAX,Baxter International,0,0,0,0
BDX,Becton Dickinson,> 140,> 140,> 140,> 140
WRB,Berkley,> 140,> 140,> 140,> 140
BRK.B,Berkshire Hathaway,38,53,> 140,> 140
BBY,Best Buy,> 140,> 140,> 140,> 140
BIO,Bio-Rad,> 140,> 140,> 140,> 140
TECH,Bio-Techne,> 140,> 140,> 140,> 140
BIIB,Biogen,> 140,> 140,> 140,> 140
BLK,BlackRock,> 140,> 140,> 140,> 140
BK,BNY Mellon,> 140,> 140,> 140,> 140
BA,Boeing,> 140,> 140,> 140,> 140
BKNG,Booking Holdings,> 140,> 140,> 140,> 140
BWA,BorgWarner,133,> 140,> 140,> 140
BXP,Boston Properties,> 140,> 140,> 140,> 140
BSX,Boston Scientific,> 140,> 140,> 140,> 140
BMY,Bristol Myers Squibb,> 140,> 140,> 140,> 140
AVGO,Broadcom Inc.,> 140,> 140,> 140,> 140
BR,Broadridge Financial Solutions,> 140,> 140,> 140,> 140
BRO,Brown & Brown,> 140,> 140,> 140,> 140
BF.B,Brown–Forman,> 140,> 140,> 140,> 140
BG,Bunge Limited,4,4,43,> 140
CHRW,C.H. Robinson,> 140,> 140,> 140,> 140
CDNS,Cadence Design Systems,> 140,> 140,> 140,> 140
CZR,Caesars Entertainment,0,0,0,0
CPT,Camden Property Trust,> 140,> 140,> 140,> 140
CPB,Campbell Soup Company,79,114,> 140,> 140
COF,Capital One,> 140,> 140,> 140,> 140
CAH,Cardinal Health,> 140,> 140,> 140,> 140
CCL,Carnival,4,4,> 140,> 140
CARR,Carrier Global,> 140,> 140,> 140,> 140
CTLT,Catalent,0,0,0,0
CAT,Caterpillar Inc.,> 140,> 140,> 140,> 140
CBOE,Cboe Global Markets,> 140,> 140,> 140,> 140
CBRE,CBRE Group,> 140,> 140,> 140,> 140
CDW,CDW,4,4,> 140,> 140
CE,Celanese,0,0,0,0
COR,Cencora,> 140,> 140,> 140,> 140
CNC,Centene Corporation,0,0,0,0
CNP,CenterPoint Energy,4,4,25,> 140
CDAY,Ceridian,> 140,> 140,> 140,> 140
CF,CF Industries,4,4,45,> 140
CRL,Charles River Laboratories,0,0,0,0
SCHW,Charles Schwab Corporation,> 140,> 140,> 140,> 140
CHTR,Charter Communications,> 140,> 140,> 140,> 140
